,anakjakartaasikasik,anak jakarta asyik asyik baru
8141,ustzah,ustazah
8142,halow,halo
8143,aduuh,aduh
8144,nyimpen,menyimpan
8145,ngarsipin,mengarsipkan
8146,kngn,kangen
8147,kq,kok
8148,prh,parah
8149,napsuu,nafsu
8150,gmau,enggak mau
8151,luccu,lucu
8152,lahirr,lahir
8153,ceemen,payah
8154,skrnh,sekarang
8155,cerdiik,cerdik
8156,jeniuss,jenius
8157,kurangin,kurangi
8158,kreen,keren
8159,mintk,minta
8160,nyolong,mencuri
8161,rezeqinya,rezekinya
8162,pintr,pintar
8163,dekk,adik
8164,kura2,kura kura
8165,sukkaa,suka
8166,putihh,putih
8167,peduliin,mempedulikan
8168,komntr,komentar
8169,smngat,semangat
8170,dosax,dosanya
8171,pahalax,pahalanya
8172,akhirt,akhirat
8173,tinggalkn,tinggalkan
8174,rumh,rumah
8175,trhtung,terhitung
8176,cerdass,cerdas
8177,tambahh,tambah
8178,polll,pol
8179,ngerespon,merespons
8180,dulurrr,saudara
8181,brusaha,berusaha
8182,lebh,lebih
8183,amin2,amin amin
8184,brhjb,berhijab
8185,mdh2n,mudah mudahan
8186,jlbb,jilbab
8187,dempga,semoga
8188,selmnya,selamanya
8189,tth,mbak
8190,otot2,otot otot
8191,ademm,adem
8192,beginii,begini
8193,cuantek,cantik
8194,iniehh,ini
8195,sayangx,sayangnya
8196,jodohx,jodohnya
8197,kaliaan,kalian
8198,haslnya,hasilnya
8199,kencng,kencang
8200,pmbantu,pembantu
8201,kmbl,kembali
8202,cuchook,cocok
8203,kloop,klop
8204,sempurnaa,sempurna
8205,klihatan,kelihatan
8206,cintax,cintanya
8207,pnuh,penuh
8208,ngrti,mengerti
8209,mantanny,mantannya
8210,jodohny,jodohnya
8211,cantk,cantik
8212,ituuu,itu
8213,kaasian,kasihan
8214,padhl,padahal
8215,pkrin,pikirkan
8216,anakx,anaknya
8217,sia2kan,sia siakan
8218,kreean,keren
8219,berenanh,berenang
8220,pacarr,pacar
8221,bingitss,banget
8222,ngumbar2,mengumbar umbar
8223,romantiss,romantis
8224,cocook,cocok
8225,yaang,yang
8226,bangedt,banget
8227,gde,gede
8228,lutunaaa,lucunya
8229,bikinnn,bikin
8230,lucux,lucunya
8231,ntap,mantap
8232,abgnyaah,abangnya
8233,mungkiin,mungkin
8234,akuhh,aku
8235,manteb,mantap
8236,tebel,tebal
8237,nganggepin,menanggapi
8238,perjabatt,pejabat
8239,makany,makanya
8240,krjaan,pekerjaan
8241,kdang,kadang
8242,knan,kanan
8243,trknal,terkenal
8244,klok,kalo
8245,guw,gue
8246,selaloe,selalu
8247,prhatian,perhatian
8248,hebaat,hebat
8249,ampunn,ampun
8250,liatt,lihat
8251,gehh,gih
8252,jirr,anjir
8253,kayaa,kaya
8254,cempreeng,cempreng
8255,pcran,pacaran
8256,anedh,banget
8257,boro2,boro boro
8258,nyta,nyata
8259,kampungn,kampungan
8260,mnghina,menghina
8261,ngolokin,ejek
8262,dsr,dasar
8263,siriik,sirik
8264,aduuhh,aduh
8265,cemburuu,cemburu
8266,tlog,tolong
8267,sirikk,sirik
8268,dbnding,dibanding
8269,nrka,neraka
8270,s3ndiri,sendiri
8271,bhgiain,bahagiakan
8272,kdua,kedua
8273,prcya,percaya
8274,bhagaia,bahagia
8275,cuco,cocok
8276,mlikk,milik
8277,canci,cantik
8278,aneed,banget
8279,gimanaa,bagaimana
8280,pentingg,penting
8281,krudung,kerudung
8282,oprasiya,operasinya
8283,uwee,gue
8284,itumahh,itumah
8285,berbakiti,berbakti
8286,alhamd,alhamdulillah
8287,slmttt,selamat
8288,ucapin,mengucapkan
8289,tetp,tetap
8290,ditengah2,ditengah tengah
8291,semuanyaa,semuanya
8292,aminn2,amin amin
8293,abs,habis
8294,melahirin,melahirkan
8295,cakeep,cakep
8296,gimn,bagaimana
8297,aamien,amin
8298,lngsing,langsing
8299,smulla,semula
8300,pdhall,padahal
8301,blln,bulan
8302,gtu2,begitu gitu
8303,gataunya,enggak taunya
8304,gtau,enggak tau
8305,fans2,fan fan
8306,gaharus,enggak harus
8307,athoh,atuh
8308,baangg,abang
8309,babangnya,abangnya
8310,abaq,abaqus
8311,abd,abdi
8312,amhp,abdullah makhmud hendropriyono
8313,abgbugil,abg bugil
8314,abgmesum,abg mesum
8315,abu2,abu abu
8316,abubakar,abu bakar
8317,acaraâ bakal,acaranya bakal
8318,adadikompas,ada di kompas
8319,adafildankamibegadang,ada fil dan kamil begadang
8320,adatuh,ada itu
8321,adaloh,ada lo
8322,adala,adalah
8323,adatgorontalo,adat gorontalo
8324,adatnye,adatnya
8325,addmath,add math
8326,adik2,adik adik
8327,adekku,adikku
8328,akk,administrasi kebijakan kesehatan
8329,adren,adrenal
8330,adeuhh,aduh
8331,adh,aduh
8332,adih,aduh
8333,adohh,aduh
8334,aiish,aduh
8335,aish,aduh
8336,affu19indosiar,aff under  indosiar
8337,agkya,agaknya
8338,agkya3,agaknya
8339,agama2,agama agama
8340,agamaâ,agamanya
8341,agamax,agamanya
8342,agnostic,agnostik
8343,agunh,agung
8344,agung2in,agung agungkan
8345,ahy,agus harimurti yudhoyono
8346,achh,ah
8347,aghh,ah
8348,agiah,ah
8349,arhh,ah
8350,ahlu,ah lu
8351,ahsudalah,ah sudahlah
8352,ahhâ,aha
8353,aheruntukindonesia,aher untuk indonesia
8354,ajusshi,ahjussi
8355,ahlunnar,ahlun nar
8356,ahlussunah,ahlusunah
8357,ahlussunnah,ahlusunah
8358,aheryawan,ahmad heryawan
8359,ahoak,ahok
8360,ahoq,ahok
8361,ahokpastitumbang,ahok pasti tumbang
8362,ahokpecahbelahbangsa,ahok pecah belah bangsa
8363,ahogers,ahoker
8364,aisyah,aisya
8365,ajak2,ajak ajak
8366,ajakalah,ajaklah
8367,ajaran2,ajaran ajaran
8368,akbp,ajun komisaris besar polisi
8369,akp,ajun komisaris polisi
8370,akhir2,akhir akhir
8371,akhinya,akhirnya
8372,akhirx,akhirnya
8373,ahlikul,akhlak
8374,aqiqah,akikah
8375,akhen,aksen
8376,asesoris,aksesori
8377,aksi299,aksi 
8378,aksi313jokowitakutlengser,aksi  jokowi takut lengser
8379,aksi2,aksi aksi
8380,aksibelaislan,aksi bela islam
8381,aksimaksa,aksi maksa
8382,aksinaga299,aksi naga 
8383,aktingny,aktingnya
8384,aktifis,aktivis
8385,aktivisi,aktivis
8386,aktifitas,aktivitas
8387,aktivitasjokowi,aktivitas jokowi
8388,akutu,aku itu
8389,akutuh,aku itu
8390,akumaupresidenbaru,aku mau presiden baru
8391,akuseorangpendosa,aku seorang pendosa
8392,akuseruji,aku seruji
8393,akusisi,akuisisi
8394,akaun,akun
8395,akun2,akun akun
8396,akutansi,akuntansi
8397,akurr,akur
8398,akur2,akur akur
8399,acut,akut
8400,albanna,al banna
8401,alfathih,al fatih
8402,alfaatihah,al fatihah
8403,alfatihah,al fatihah
8404,alhabib,al habib
8405,aljufri,al jufri
8406,alkafirun,al kafirun
8407,almaidah,al maidah
8408,almaidah51,al maidah 
8409,almusawa,al musawa
8410,alqaeda,al qaeda
8411,alalala,ala ala
8412,aelaah,alah
8413,ahelah,alah
8414,alaa,alah
8415,alaâ,alah
8416,alaah,alah
8417,alaahh,alah
8418,alambanten,alam banten
8419,alamsekitar,alam sekitar
8420,alamiyah,alamiah
8421,apamnya,alamnya
8422,alang2,alang alang
8423,alasan2,alasan alasan
8424,alasanbikinaksi,alasan bikin aksi
8425,alasannyaâ,alasannya
8426,alesanya,alasannya
8427,alqt,alat
8428,alutsista,alat utama sistem pertahanan
8429,alayy,alay
8430,alaikm,alaykum
8431,alemanâ,alemannya
8432,aleksis,alexis
8433,alfaadli,alfadli
8434,alhmdulillah,alhamdulillah
8435,alhamdulillahongkos,alhamdulillah ongkos
8436,aliâ,alia
8437,aliby,alibi
8438,aileen,alien
8439,aelien1stmensive,alien first mensive
8440,aline,alinea
8441,allaah,allah
8442,allahyarham,allah ya rahman
8443,alohmubarbar,allahmu barbar
8444,allahakbar,allahu akbar
8445,allahuakhbar,allahu akbar
8446,allahummagfirli,allahummaghfirli
8447,alumi,alumni
8448,alumni212,alumni 
8449,alywafa,aly wafa
8450,aman2,aman aman
8451,amatin,amati
8452,amateur,amatir
8453,amstir,amatir
8454,amek,ambek
8455,ambivient,ambient
8456,ambik,ambil
8457,ambil2,ambil ambil
8458,ambisitercapai,ambisi tercapai
8459,ambis,ambisius
8460,amblass,amblas
8461,ambleg,amblek
8462,ambulan,ambulans
8463,amrik,amerika
8464,aminin,aminkan
8465,amiss,amis
8466,amitamit,amit amit
8467,amaroso,amoroso
8468,ampyuunn,ampun
8469,anakonda,anaconda
8470,anakk,anak
8471,aneuk,anak
8472,anak2ku,anak anak ku
8473,anakku,anakku
8474,anlisa,analisis
8475,analisaku,analisisku
8476,ancem2an,ancam ancaman
8477,antabur,ancuran tai burung
8478,andaa,anda
8479,andaâ,anda
8480,andalin,andalkan
8481,andiblz,andi balas
8482,andreopa,andre opa
8483,anehdidunia,aneh di dunia
8484,angan2,angan angan
8485,angeus,angelus
8486,anggep,anggap
8487,aggaran,anggaran
8488,apbd,anggaran pendapatan dan belanja daerah
8489,apbn,anggaran pendapatan dan belanja negara
8490,anggota2,anggota anggota
8491,anggotadpr,anggota dewan perwakilan rakyat
8492,anggotany,anggotanya
8493,angkatan45,angkatan 
8494,angkatan66,angkatan 
8495,angkatan98,angkatan 
8496,angkot,angkutan kota
8497,aniespresiden2019,anies presiden 
8498,aniessndi,anies sandi
8499,anime2,anime anime
8500,anismatta,anis matta
8501,ajgg,anjing
8502,ajig,anjing
8503,anjeeng,anjing
8504,anjenk,anjing
8505,anjiing,anjing
8506,anjingg,anjing
8507,anjinxx,anjing
8508,anjyng,anjing
8509,anying,anjing
8510,anzing,anjing
8511,anjing2,anjing anjing
8512,anjing2in,anjing anjingi
8513,anjay,anjir
8514,anjer,anjir
8515,anjiirr,anjir
8516,anjiritt,anjir
8517,anjy,anjir
8518,anjyr,anjir
8519,anshor,ansar
8520,antr,antar
8521,antarabangsa,antara bangsa
8522,ante,antek
8523,antek2,antek antek
8524,antek2nya,antek anteknya
8525,antekny,anteknya
8526,ateknya,anteknya
8527,anty,anti
8528,anti2ny,anti antinya
8529,antihoax,anti hoaks
8530,antijil,anti jaringan islam liberal
8531,antikomunis,anti komunis
8532,antisyiah,anti syiah
8533,antiterorisme,anti terorisme
8534,antitesa,antitesis
8535,antoncharliyan,anton charliyan
8536,antri,antre
8537,antrian,antrean
8538,anthropology,antropologi
8539,aoa,apa
8540,apakk,apa
8541,ape2,apa apa
8542,apa2an,apa apaan
8543,apa2in,apa apakan
8544,apadong,apa dong
8545,apakabss,apa kabar
8546,apkabar,apa kabar
8547,aplg,apa lagi
8548,aplgie,apa lagi
8549,apasalahnya,apa salahnya
8550,apaansi,apa sih
8551,apasi,apa sih
8552,apan,apaan
8553,apann,apaan
8554,apaandah,apaan deh
8555,apaka,apakah
8556,apkah,apakah
8557,apkh,apakah
8558,apain,apakan
8559,apalag,apalah
8560,apaapun,apapun
8561,aparat2,aparat aparat
8562,asn,aparatur sipil negara
8563,apelancau,ape lancau
8564,amsyong,apes
8565,appnya,aplikasinyya
8566,arab2an,arab araban
8567,arabislam,arab islam
8568,arahbaruindonesia,arah baru indonesia
8569,abritase,arbitrase
8570,aromatics,aromatik
8571,artine,artinya
8572,artiny,artinya
8573,aarze,arze
8574,asaan,asahan
8575,asall,asal
8576,asalbukanjokowi,asal bukan jokowi
8577,asbun,asal bunyi
8578,assalammualaikum,asalamualaikum
8579,assalamu,asalamualaikum
8580,adalnya,asalnya
8581,ashar,asar
8582,azas,asas
8583,asset,aset
8584,assets,aset
8585,aset2,aset aset
8586,asiangames2018,asian games 
8587,asiangameskita,asian games kita
8588,asymetric,asimetri
8589,assimilate,asimilasi
8590,asibg,asing
8591,asing2,asing asing
8592,asdep,asisten deputi
8593,aselik,asli
8594,asliserunya,asli serunya
8595,asongan2,asongan asongan
8596,appsi,asosiasi pedagang pasar seluruh indonesia
8597,assasin,assassin
8598,assassinations,assassination
8599,asstag,astaga
8600,astagfirllah,astagfirullah
8601,astagfirlloh,astagfirullah
8602,astagfiruloh,astagfirullah
8603,astaghfar,astagfirullah
8604,astaghfirullah,astagfirullah
8605,astaghfirullohal,astagfirullahal
8606,asuog,asu
8607,asuu,asu
8608,azu,asu
8609,asutolol,asu tolol
8610,asuan,asuhan
8611,asysyihaa,asy syifa
8612,aseeqq,asyik
8613,asekk,asyik
8614,asoy,asyik
8615,asyikk,asyik
8616,asik2,asyik asyik
8617,asyikm3nang,asyik menang
8618,attas,atas
8619,atarturk,ataturk
8620,atao,atau
8621,atheis,ateis
8622,atheist,ateis
8623,athies,ateis
8624,atheisdete,ateis mati
8625,attabrani,ath thabrani
8626,atlit,atlet
8627,atmajaya,atma jaya
8628,atongkepoh,atomg kepo
8629,antraksi,atraksi
8630,atur2,atur atur
8631,aulyaa,auliya
8632,ausi,australia
8633,aussie,australia
8634,aviaa,avia
8635,awaass,awas
8636,awakarin,awkarin
8637,ayak2,ayak ayak
8638,ayamkampus,ayam kampus
8639,ayamorr,ayamor
8640,ayashiyan,ayashiya
8641,ayat2,ayat ayat
8642,ayoh,ayo
8643,ayuh,ayo
8644,ayohbangsa,ayo bangsa
8645,ayoindonesia,ayo indonesia
8646,ayokedamraman,ayo ke dam raman
8647,ayokefestivalpesonabunaken,ayo ke festival pesona bunaken
8648,ayopenjarakan,ayo penjarakan
8649,ayutingting,ayu ting ting
8650,ayyub,ayub
8651,adzab,azab
8652,adzan,azan
8653,adzanin,azankan
8654,adzim,azim
8655,aziim,azim
8656,baa,ba
8657,baag,ba
8658,babihok,babi ahok
8659,babyy,baby
8660,bacakorankaltim,baca koran kalimantan timur
8661,baca2in,bacakan
8662,bacain,bacakan
8663,backstage,back stage
8664,backtocampus,back to campus
8665,bacod,bacot
8666,awakmu,badanmu
8667,baduy,badui
8668,badut2,badut badut
8669,bagaiamana,bagaimana
8670,bagmna,bagaimana
8671,bagia,bagian
8672,bagian2,bagian bagian
8673,bahanakan,bahan akan
8674,bahancoli,bahan coli
8675,bahalul,bahlul
8676,baek2in,baik baiki
8677,angst,bangsat
8678,akeh,banyak
8679,baggona,begitu
8680,ambisional,berambisi
8681,b2,berdua
8682,b4,berempat
8683,awek,cewek
8684,aras2en,enggan
8685,abiez,habis
8686,abizz,habis
8687,abisan,habisnya
8688,abisnya,habisnya
8689,ahahah,haha
8690,ahahahaha,haha
8691,ahahahahaha,haha
8692,ahhahahha,haha
8693,ajhakabahajha,haha
8694,baahahahahahahahahhahah,haha
8695,bahaha,haha
8696,allooww,halo
8697,alus,halus
8698,ancoor,hancur
8699,ancor,hancur
8700,ancur2,hancur hancur
8701,ancuran,hancuran
8702,ancurin,hancurkan
8703,anget2,hangat hangat
8704,angetin,hangatkan
8705,apuss,hapus
8706,atine,hatinya
8707,ads,iklan
8708,aipet,ipad
8709,aok,iya
8710,ancok,jancuk
8711,aki2,kakek kakek
8712,apankah,kapan kah
8713,adilan,keadilan
8714,awsum,keren
8715,arut,larut
8716,â maroko,maroko
8717,arep,mau
8718,backingin,melindungi
8719,angkrem,mengerami
8720,arulin,pada bermain
8721,accny,persetujuannya
8722,½ramayana,ramayana
8723,adolexcent,remaja
8724,ajach,saja
8725,ajadeh,saja deh
8726,ay,say
8727,aingpersibaingpolitik,saya persib saya politik
8728,agalanya,segalanya
8729,akrg,sekarang
8730,afternya,setelahnya
8731,amak,tikar
8732,aplot,unggah
8733,apdet,update
8734,que,aku
8735,qurâ,alquran
8736,qurra,alquran
8737,quranku,alquranku
8738,pimen,bagaimana
8739,piye,bagaimana
8740,pimensiv,bagaimana sih
8741,replyan,balasan
8742,pisann,banget
8743,rebutan,berebut
8744,rapopo,enggak apa apa
8745,raiso,enggak bisa
8746,raisin,enggak malu
8747,rausahmundurrausahwedi,enggak perlu mundur enggak perlu takut
8748,rauwisuwis,enggak selesai selesai
8749,raseneng,enggak suka
8750,rausa,enggak usah
8751,pilosofi,filosofi
8752,pitnah,fitnah
8753,poto,foto
8754,potonya,fotonya
8755,prustasi,frustrasi
8756,qizi,gizi
8757,pingn,ingin
8758,pinginnya,inginnya
8759,pidex,injak
8760,qabul,kabul
8761,qn,kan
8762,rein,kendali
8763,rantis,kendaraan taktis
8764,polda,kepolisian daerah
8765,polri,kepolisian republik indonesia
8766,polsek,kepolisian sektor
8767,qususi,khusus
8768,qishosjokowi,kisas jokowi
8769,qitaab,kitab
8770,qty,kuantitas
8771,quda,kuda
8772,quiz,kuiz
8773,quota,kuota
8774,qurban,kurban
8775,quote,kutipan
8776,plantaran,lantaran
8777,report,laporan
8778,reportnya,laporannya
8779,pisuhi,marahi
8780,promote,mempromosikan
8781,reti,mengerti
8782,realized,menyadari
8783,ping,merah muda
8784,pink,merah muda
8785,pink2,merah muda
8786,qizmin,miskin
8787,pngebetnya,ngebet
8788,qey,oke
8789,rlnya,pacarnya
8790,pqdahal,padahal
8791,pokcoy,pakcoy
8792,pmi,palang merah indonesia
8793,plmbng,palembang
8794,plestina,palestina
8795,pntas,pantas
8796,pnts,pantas
8797,praah,parah
8798,pkpi,partai keadilan dan persatuan indonesia
8799,pks,partai keadilan sejahtera
8800,pksbersamaulama,partai keadilan sejahtera bersama ulama
8801,pkskhawatir,partai keadilan sejahtera khawatir
8802,pkb,partai kebangkitan bangsa
8803,pkbnomorsatu,partai kebangkitan bangsa nomor satu
8804,pkc,partai komunis cina
8805,pki,partai komunis indonesia
8806,pkibukanindonesia,partai komunis indonesia bukan indonesia
8807,pkiklau,partai komunis indonesia kalau
8808,pni,partai nasional indonesia
8809,prd,partai rakyat demokratik
8810,psanganya,pasangannya
8811,pstikan,pastikan
8812,ptut,patut
8813,pns,pegawai negeri sipil
8814,pjs,pejabat sementara
8815,pjalan,pejalan
8816,pios,pekan ilmiah olahraga dan seni mahasiswa
8817,pkrja,pekerja
8818,psk,pekerja seks komersial
8819,pr,pekerjaan rumah
8820,pupr,pekerjaan umum dan perumahan rakyat
8821,pler,peler
8822,pulihara,pelihara
8823,pmain,pemain
8824,pmbangunan,pembangunan
8825,pmbngunan,pembangunan
8826,pmtb,pembentukan modal tetap bruto
8827,pmgang,pemegang
8828,pmrintah,pemerintah
8829,pmrnth,pemerintah
8830,pmrth,pemerintah
8831,prri,pemerintahan revolusioner republik indonesia
8832,rapist,pemerkosa
8833,pulkada,pemilihan kepala daerah
8834,pilpres,pemilihan presiden
8835,pilpres2019,pemilihan presiden 
8836,pmimpinnya,pemimpinnya
8837,pmpek,pempek
8838,pollingnya,pemungutan suaranya
8839,pinalti,penalti
8840,prnampilan,penampilan
8841,pndptn,pendapatan
8842,pnddikan,pendidikan
8843,plk,pendidikan layanan khusus
8844,pndkung,pendukung
8845,pndukung,pendukung
8846,pn,pengadilan negeri
8847,ptun,pengadilan tata usaha negara
8848,pngkuan,pengakuan
8849,pngangguran,pengangguran
8850,pngangkut,pengangkut
8851,pngndara,pengendara
8852,pngertian,pengertian
8853,pngikut,pengikut
8854,pollower,pengikut
8855,pngkhianat,pengkhianat
8856,pngunjung,pengunjung
8857,pwnu,pengurus wilayah nahdlatul ulama
8858,pnjg,penjaga
8859,pting,penting
8860,pnukaran,penukaran
8861,pointernya,penunjuknya
8862,pnyebar,penyebar
8863,provider,penyedia
8864,providernya,penyedianya
8865,prasaanku,perasaanku
8866,prepres,peraturan presiden
8867,prbedaan,perbedaan
8868,prcaya,percaya
8869,prcma,percuma
8870,prekonomian,perekonomian
8871,pmii,pergerakan mahasiswa islam indonesia
8872,ptkin,perguruan tinggi keagamaan islam negeri
8873,pmk,perhimpunan mahasiswa katolik
8874,pmkri,perhimpunan mahasiswa katolik republik indonesia
8875,priode,periode
8876,prkataan,perkataan
8877,prsamaan,persamaan
8878,pui,persatuan umat islam
8879,prsaudaraan,persaudaraan
8880,prosntasi,persentase
8881,ptfi,perseroan terbatas freeport indonesia
8882,ptpn,perseroan terbatas perkebunan nusantara
8883,prthankn,pertahankan
8884,prtama,pertama
8885,prshn,perusahaan
8886,pln,perusahaan listrik negara
8887,porut,perut
8888,pswat,pesawat
8889,picrk,picek
8890,pikiran2,pikiran pikiran
8891,pkrannya,pikirannya
8892,pikirin,pikirkan
8893,pikirqu,pikirku
8894,plh,pilih
8895,pilihgusipulmbakputi,pilih gus ipul mbak puti
8896,pilih2,pilih pilih
8897,plhn,pilihan
8898,pilgu,pilihan gubernur
8899,pilgub,pilihan gubernur
8900,pilgubjateng2018,pilihan gubernur 
8901,pilgubdki,pilihan gubernur daerah khusus ibukota
8902,pilgubjabar2018,pilihan gubernur jawa barat 
8903,pilgubjat3ngtanpahoax,pilihan gubernur jawa tengah tanpa hoaks
8904,pilgubsu2018,pilihan gubernur sumatera utara 
8905,pilkada,pilihan kepala daerah
8906,pilkada2018,pilihan kepala daerah 
8907,pilkadaacehselatan2018,pilihan kepala daerah aceh selatan 
8908,pilkadaâ berintegritas,pilihan kepala daerah berintegritas
8909,pilkadaâ deliserdang,pilihan kepala daerah deliserdang
8910,pilkadako,pilihan kepala daerah kota bogor
8911,pilkadakotabogo,pilihan kepala daerah kota bogor
8912,pilkadaâ langsung,pilihan kepala daerah langsung
8913,pilkadamalang,pilihan kepala daerah malang
8914,pilkadaseharusnyamemberikandampakpositif,pilihan kepala daerah seharusnya memberikan dampak positif
8915,pilkadaâ serentak,pilihan kepala daerah serentak
8916,pileg,pilihan legislatif
8917,pilihan2,pilihan pilihan
8918,pilihanprabowountukjabar,pilihan prabowo untuk jawa barat
8919,pilihanya,pilihannya
8920,pimred,pimpinan redaksi
8921,pinn,pin
8922,pinff,pinoy
8923,pintet,pintar
8924,pintar2,pintar pintar
8925,pinter2,pintar pintar
8926,pinternya,pintarnya
8927,piramid2,piramida piramida
8928,pisank,pisang
8929,pyjamas,piyama
8930,ps,play station
8931,psn,play station network
8932,playvictim,play victim
8933,pliss,please
8934,planga,plonga
8935,plenjas,plonga
8936,plongaplo,plonga plongo
8937,plongaplongo,plonga plongo
8938,plenjus,plongo
8939,pluralism,pluralisme
8940,ples,plus
8941,point2,poin poin
8942,poï,point of interest
8943,pojoksatu,pojok satu
8944,pokoknyah,pokoknya
8945,poll,pol
8946,poland,polandia
8947,polemikpemberantasanterorisme,polemik pemberantasan terorisme
8948,poly,poli
8949,poligamy,poligami
8950,poiisi,polisi
8951,polres,polisi resor
8952,polsis,polisi siswa
8953,polman,politeknik manufaktur negeri bandung
8954,politicianacademy,politician academy
8955,politicid,politik
8956,polhukam,politik hukum dan keamanan
8957,pilitiknya,politiknya
8958,politikâ,politiknya
8959,politisi2,politiknya
8960,politusi,politisi
8961,poling,polling
8962,plos,polos
8963,pondokleleaksanacirebon,pondok lele aksana cirebon
8964,ponpes,pondok pesantren
8965,populerb1,populer
8966,porn,porno
8967,portoflio,portofolio
8968,poskotanews,pos kota news
8969,positive,positif
8970,positiflugasdanmencerahkan,positif lugas dan mencerahkan
8971,poskojoin,posko join
8972,pospera,posko perjuangan rakyat
8973,posterdakwah,poster dakwah
8974,posting2,posting posting
8975,potongâ atasâ,potongan atas
8976,pp10sempurna,pp  sempurna
8977,ppforjokowi,pp for jokowi
8978,pre,pra
8979,prakemerdekaan,pra kemerdekaan
8980,prakhotbah,pra khotbah
8981,praun,pra ujian nasional
8982,prabon,prabowo
8983,prabowo2periode,prabowo  periode
8984,prabowoanismatta,prabowo anis matta
8985,prabocor,prabowo bocor
8986,prabowoforpresiden2019,prabowo for presiden 
8987,prabowogagalmoveon,prabowo gagal move on
8988,prabowountukindonesia,prabowo untuk indonesia
8989,praketik,praktik
8990,praktekan,praktikan
8991,prakteknya,praktiknya
8992,pratyay,pratyaya
8993,prayformahasiswaui,pray for mahasiswa ui
8994,prayforrohingya,pray for rohingya
8995,prediksinggrisjuarapd2018,prediksi inggris juara pada 
8996,premiosmt,premios mt
8997,pstmt,prepared statement
8998,plesiden,presiden
8999,presid,presiden
9000,preside,presiden
9001,presidens,presiden
9002,president,presiden
9003,presuden,presiden
9004,prsiden,presiden
9005,presiden2019,presiden 
9006,presidenabadi,presiden abadi
9007,presidenâ soeharto,presiden soeharto
9008,presidentnya,presidennya
9009,presidenya,presidennya
9010,pt20langgarkonstitusi,presidential threshold langgar konstitusi
9011,prestasli,prestasi
9012,prestasiny,prestasinya
9013,preet,pret
9014,pref,pret
9015,prett,pret
9016,pri,pria
9017,pribumu,pribumi
9018,princes,princess
9019,prinsip2,prinsip prinsip
9020,println,print
9021,print130k,print  ribu
9022,prioriti,prioritas
9023,procina,pro cina
9024,prokorupt,pro koruptor
9025,problem2,problem problem
9026,provo,proco
9027,ploduk,produk
9028,produ,produk
9029,product,produk
9030,prukades,produk unggulan kawasan perdesaan
9031,produktifitas,produktivitas
9032,produktifitasnya,produktivitasnya
9033,podusen,produsen
9034,producer,produser
9035,professional,profesional
9036,professor,profesor
9037,profile,profil
9038,prog,program
9039,program16,program 
9040,program18,program 
9041,program8,program 
9042,pkh,program keluarga harapan
9043,pkhsupergusipulputi,program keluarga harapan super gus ipul puti
9044,proker,program kerja
9045,pkm,program kreativitas mahasiswa
9046,program2,program program
9047,progran2,program program
9048,prodi,program studi
9049,progresi,progres
9050,progressive,progresif
9051,projo,promo
9052,promosiin,promosikan
9053,property,properti
9054,protection,proteksi
9055,protek,proteksi
9056,protestant,protestan
9057,ptc,provides technology solutions
9058,prov,provinsi
9059,provokativ,provokatif
9060,provikator,provokator
9061,project,proyek
9062,proyek2,proyek proyek
9063,pru14,pru 
9064,pseduo,pseudo
9065,psyco,psiko
9066,psychologist,psikolog
9067,puasin,puaskan
9068,public,publik
9069,puisigus,puisi gus
9070,puja2,puja puja
9071,pkul,pukul
9072,pulng,pulang
9073,pulangmengundi,pulang mengundi
9074,pulang2,pulang pulang
9075,pulangin,pulangkan
9076,pulað,pulau
9077,pulau2,pulau pulau
9078,pululan,pullulan
9079,polpen,pulpen
9080,puluhancina,puluhan cina
9081,punâ,punah
9082,pungli,pungutan liar
9083,pungutin,punguti
9084,punyo,punya
9085,purn,purna
9086,pwt,purwokerto
9087,poseng,pusing
9088,posing,pusing
9089,pusying,pusing
9090,rieutt,pusing
9091,puteeh,putih
9092,poetri,putri
9093,putus2,putus putus
9094,putusin,putuskan
9095,qias,qiyas
9096,quraisyh,quraisy
9097,rabbaniah,rabbaniyah
9098,rabbah,rabi
9099,rabbi,rabi
9100,rabbikuma,rabikuma
9101,rabuseru,rabu seru
9102,rasict,racist
9103,rasis,racist
9104,rada2,rada rada
9105,radenmas,raden mas
9106,radicals,radikal
9107,radiohead,radio head
9108,raditia,raditya
9109,raffiahmad,raffi ahmad
9110,rag,raga
9111,raj,raja
9112,raja2,raja raja
9113,rcti,rajawali citra televisi indonesia
9114,rokaat,rakaat
9115,rakhin,rakhine
9116,raktat,rakyat
9117,rakyak,rakyat
9118,rayat,rakyat
9119,rakyatbersamafpi,rakyat bersama front pembela islam
9120,rakyatb3rsamajkw,rakyat bersama jokowi
9121,rakyatmaujokowi2019,rakyat mau jokowi 
9122,rmol,rakyat merdeka on line
9123,rakyatpintar,rakyat pintar
9124,rakyatn,rakyatnya
9125,ramadhan,ramadan
9126,ramasan,ramadan
9127,rmai,ramai
9128,ramai2,ramai ramai
9129,rame2nya,ramai ramainya
9130,ramenya,ramainya
9131,rapet,rapat
9132,rakercabsuâ,rapat kerja cabang khusus
9133,rakercabsus,rapat kerja cabang khusus
9134,rakor,rapat koordinasi
9135,rapimnas,rapat pimpinan nasional
9136,repeh,rapi
9137,rapihkan,rapikan
9138,rapiin,rapikan
9139,rasakeenn,rasakan
9140,rasanonosak,rasakan sampai
9141,rasanyaa,rasanya
